30606	8518	13
674	5162	12
10430	2965	1
31690	6675	15
4668	2690	7
1230	3562	2
12	1930	10
8482	2263	7
23325	5994	14
124	4087	9
506	1668	5
12	3149	2
32631	4285	15
126	1417	4
14	1699	7
9436	9811	1
6909	1263	8
14	2536	10
16	3484	3
104	6434	7
27424	3877	3
324	167	16
14	14	15
104	3138	17
8644	3252	12
112	3052	1
2696	3565	11
170	343	0
1287	9001	4
251	873	4
17261	4602	8
102	7716	9
12	6019	5
189	2128	13
103	9927	7
121	6261	16
881	5460	2
279	6879	8
16	7539	1
14	591	25
130	1506	17
86	8622	8
5707	951	9
108	7089	8
43694	7362	4
118	7811	4
857	3274	1
9	5143	6
12	613	5
16431	1720	4
8268	7897	7
101	5672	3
104	3139	5
1723	6787	3
1433	5859	24
6319	2295	6
12	6792	10
12	7494	8
178	7137	12
2676	9864	1
333	7067	1
4955	3122	0
5184	6603	0
107	5683	2
102	263	4
106	1109	26
6515	4884	5
39	8265	24
9	1151	6
6593	9342	6
108	3095	10
731	8314	9
7097	7919	5
7459	44	4
3199	2512	5
14	5835	7
408	2555	0
120	9269	14
401	4700	1
36838	8255	12
102	2273	1
10594	3955	17
12	9068	8
312	31	8
33355	810	11
105	1920	16
18678	1648	7
104	2223	27
14	7758	8
7493	7075	9
6659	8856	2
12	6309	6
131	3438	22
248	6788	8
14124	3095	2
121	1850	7
5516	3311	7
2466	7847	10
950	5493	5
9	6601	40
16590	3026	3
9	9785	25
707	1745	9
35022	7398	8
14	9763	12
424	8562	1
21352	1552	27
114	5357	12
1529	8817	8
3142	8432	1
18474	4860	2
14	4904	9
101	1871	19
169	4856	3
36145	8561	11
110	8062	2
43463	6598	14
36267	3649	18
59	9611	13
14	3567	12
412	1086	24
111	7935	24
3656	8628	25
102	585	2
119	5758	3
10695	7844	12
7568	5280	7
1392	9256	4
12	2571	18
23024	3792	11
2277	5654	6
111	9849	4
1339	9920	6
2022	8267	7
1344	5182	15
18630	8785	16
102	3302	7
121	8216	20
10382	406	13
29992	8220	4
42291	1110	14
4329	871	4
101	7174	22
734	7477	7
44118	4898	2
14	5798	9
144	1120	16
2910	4253	18
2	94	23
30421	1839	16
8	467	6
1236	7302	9
7312	8027	15
5713	2646	3
12	3843	4
26416	1082	18
698	3573	12
344	5870	0
42480	5925	4
249	9293	12
1030	8938	22
231	2250	0
5093	4103	5
106	8549	40
12023	173	7
17	9220	16
12	2700	16
16157	5744	13
